data,ano,mes,dia_juliano,hora,nucleo_sub_regional,local_recolha,especie,grupo,hcv,hcv_pct,t_ar_c,hr_pct,qa_flags
2019-06-04,2019,6,155,,"Beira Baixa, Beiras e Serra da Estrela",Castelo Branco,Esteva,Matos mediterrânicos,1.08,108.0,,,
2019-06-04,2019,6,155,,"Beira Baixa, Beiras e Serra da Estrela",Castelo Branco,P. bravo,Pinhais,1.34,134.0,,,
2019-06-25,2019,6,176,,"Beira Baixa, Beiras e Serra da Estrela",Castelo Branco,Esteva,Matos mediterrânicos,0.97,97.0,,,
2019-06-25,2019,6,176,,"Beira Baixa, Beiras e Serra da Estrela",Castelo Branco,P. bravo,Pinhais,1.12,112.0,,,
2019-07-01,2019,7,182,,Douro,Vila Real,Urze,Matos atlânticos,1.09,109.0,,,
2019-07-01,2019,7,182,,Douro,Vila Real,Carqueja,Matos atlânticos,1.18,118.0,,,
2019-07-02,2019,7,183,,Alto Minho e Cávado,Ponte de Lima,Tojo,Matos atlânticos,1.62,162.0,,,
2019-07-02,2019,7,183,,Alto Minho e Cávado,Ponte de Lima,Giesta,Giestais,1.83,183.0,,,
2019-07-03,2019,7,184,,Alto Tâmega e Terra de Trás-os-Montes,Bragança,Tojo,Matos atlânticos,1.35,135.0,,,
2019-07-03,2019,7,184,,Alto Tâmega e Terra de Trás-os-Montes,Bragança,Urze,Matos atlânticos,1.29,129.0,,,
2019-07-03,2019,7,184,,"Beira Baixa, Beiras e Serra da Estrela",Castelo Branco,Esteva,Matos mediterrânicos,0.92,92.0,,,
2019-07-03,2019,7,184,,"Beira Baixa, Beiras e Serra da Estrela",Castelo Branco,P. bravo,Pinhais,1.15,115.0,,,
2019-07-15,2019,7,196,,"Beira Baixa, Beiras e Serra da Estrela",Castelo Branco,Esteva,Matos mediterrânicos,0.83,83.0,,,
2019-07-15,2019,7,196,,"Beira Baixa, Beiras e Serra da Estrela",Castelo Branco,P. bravo,Pinhais,1.32,132.0,,,
