nucleo_sub_regional,local_recolha,data,hora,t_ar_c,hr_pct,especie,grupo,hcv
"Beira Baixa, Beiras e Serra da Estrela",Castelo branco,2019-06-04,,,,Esteva,Matos mediterrânicos,1.08
"Beira Baixa, Beiras e Serra da Estrela",Castelo branco,2019-06-04,,,,P. bravo,Pinhais,1.34
"Beira Baixa, Beiras e Serra da Estrela",Castelo branco,2019-06-25,,,,Esteva,Matos mediterrânicos,0.97
"Beira Baixa, Beiras e Serra da Estrela",Castelo branco,2019-06-25,,,,P. bravo,Pinhais,1.12
Douro,Vila Real,2019-07-01,,,,Urze,Matos atlânticos,1.09
Douro,Vila Real,2019-07-01,,,,Carqueja,Matos atlânticos,1.18
Alto Minho e Cávado,Ponte de Lima,2019-07-02,,,,Tojo,Matos atlânticos,1.62
Alto Minho e Cávado,Ponte de Lima,2019-07-02,,,,Giesta,Giestais,1.83
Alto Tâmega e Terra de Trás-os-Montes,Bragança,2019-07-03,,,,Tojo,Matos atlânticos,1.35
Alto Tâmega e Terra de Trás-os-Montes,Bragança,2019-07-03,,,,Urze,Matos atlânticos,1.29
"Beira Baixa, Beiras e Serra da Estrela",Castelo branco,2019-07-03,,,,Esteva,Matos mediterrânicos,0.92
"Beira Baixa, Beiras e Serra da Estrela",Castelo branco,2019-07-03,,,,P. bravo,Pinhais,1.15
"Beira Baixa, Beiras e Serra da Estrela",Castelo branco,2019-07-15,,,,Esteva,Matos mediterrânicos,0.83
"Beira Baixa, Beiras e Serra da Estrela",Castelo branco,2019-07-15,,,,P. bravo,Pinhais,1.32
"Beira Baixa, Beiras e Serra da Estrela",Castelo branco,2019-07-15,,,,Carqueja,Matos atlânticos,0.83
"Aveiro, Viseu e Dão Lafões",Castro d'Aire,2019-07-15,,,,Urze,Matos atlânticos,1.01
"Aveiro, Viseu e Dão Lafões",Castro d'Aire,2019-07-15,,,,Carqueja,Matos atlânticos,1.03
Douro,Vila Real,2019-07-15,,,,Urze,Matos atlânticos,0.93
Douro,Vila Real,2019-07-15,,,,Carqueja,Matos atlânticos,1.06
Alto Tâmega e Terra de Trás-os-Montes,Bragança,2019-07-17,,,,Tojo,Matos atlânticos,1.2
Alto Tâmega e Terra de Trás-os-Montes,Bragança,2019-07-17,,,,Urze,Matos atlânticos,0.98
Alto Minho e Cávado,Ponte de Lima,2019-07-17,,,,Tojo,Matos atlânticos,1.57
Alto Minho e Cávado,Ponte de Lima,2019-07-17,,,,Giesta,Giestais,1.92
Alto Tâmega e Terra de Trás-os-Montes,Bragança,2019-07-31,,,,Tojo,Matos atlânticos,1.0
Alto Tâmega e Terra de Trás-os-Montes,Bragança,2019-07-31,,,,Esteva,Matos mediterrânicos,0.77
Alto Minho e Cávado,Ponte de Lima,2019-07-31,,,,Tojo,Matos atlânticos,1.31
Alto Minho e Cávado,Ponte de Lima,2019-07-31,,,,Giesta,Giestais,1.45
Douro,Vila Real,2019-07-31,,,,Urze,Matos atlânticos,1.06
Douro,Vila Real,2019-07-31,,,,Carqueja,Matos atlânticos,0.94
Alto Tâmega e Terra de Trás-os-Montes,Bragança,2019-08-13,,,,Tojo,Matos atlânticos,0.88
Alto Tâmega e Terra de Trás-os-Montes,Bragança,2019-08-13,,,,Esteva,Matos mediterrânicos,0.99
"Aveiro, Viseu e Dão Lafões",Castro d'Aire,2019-08-13,,,,Urze,Matos atlânticos,0.94
"Aveiro, Viseu e Dão Lafões",Castro d'Aire,2019-08-13,,,,Carqueja,Matos atlânticos,0.97
Alto Minho e Cávado,Ponte de Lima,2019-08-13,,,,Tojo,Matos atlânticos,1.26
Alto Minho e Cávado,Ponte de Lima,2019-08-13,,,,Giesta,Giestais,1.57
Douro,Vila Real,2019-08-13,,,,Urze,Matos atlânticos,0.98
Douro,Vila Real,2019-08-13,,,,Carqueja,Matos atlânticos,0.89
Médio Tejo e Lezíria do tejo,Santarém,2019-08-22,,,,Tojo,Matos atlânticos,0.89
Médio Tejo e Lezíria do tejo,Santarém,2019-08-22,,,,P. bravo,Pinhais,1.36
Alto Minho e Cávado,Ponte de Lima,2019-08-27,,,,Tojo,Matos atlânticos,1.34
Alto Minho e Cávado,Ponte de Lima,2019-08-27,,,,Giesta,Giestais,1.85
Alto Tâmega e Terra de Trás-os-Montes,Bragança,2019-08-28,,,,Tojo,Matos atlânticos,0.88
Alto Tâmega e Terra de Trás-os-Montes,Bragança,2019-08-28,,,,Esteva,Matos mediterrânicos,0.94
"Aveiro, Viseu e Dão Lafões",Castro d'Aire,2019-08-28,,,,Urze,Matos atlânticos,0.85
"Aveiro, Viseu e Dão Lafões",Castro d'Aire,2019-08-28,,,,Carqueja,Matos atlânticos,0.82
Douro,Vila Real,2019-08-28,,,,Urze,Matos atlânticos,0.91
Douro,Vila Real,2019-08-28,,,,Carqueja,Matos atlânticos,0.81
Médio Tejo e Lezíria do tejo,Santarém,2019-08-29,,,,Tojo,Matos atlânticos,0.85
Médio Tejo e Lezíria do tejo,Santarém,2019-08-29,,,,P. bravo,Pinhais,1.36
"Beira Baixa, Beiras e Serra da Estrela",Castelo branco,2019-09-02,,,,Esteva,Matos mediterrânicos,0.73
"Beira Baixa, Beiras e Serra da Estrela",Castelo branco,2019-09-02,,,,P. bravo,Pinhais,1.19
Alto Tâmega e Terra de Trás-os-Montes,Bragança,2019-09-04,,,,Tojo,Matos atlânticos,0.74
Alto Tâmega e Terra de Trás-os-Montes,Bragança,2019-09-04,,,,Esteva,Matos mediterrânicos,0.84
Médio Tejo e Lezíria do tejo,Santarém,2019-09-05,,,,Tojo,Matos atlânticos,0.83
Médio Tejo e Lezíria do tejo,Santarém,2019-09-05,,,,P. bravo,Pinhais,1.51
"Beira Baixa, Beiras e Serra da Estrela",Castelo branco,2019-09-10,,,,Esteva,Matos mediterrânicos,0.67
"Beira Baixa, Beiras e Serra da Estrela",Castelo branco,2019-09-10,,,,P. bravo,Pinhais,1.2
Alto Minho e Cávado,Ponte de Lima,2019-09-10,,,,Tojo,Matos atlânticos,1.34
Alto Minho e Cávado,Ponte de Lima,2019-09-10,,,,Giesta,Giestais,1.36
Alto Tâmega e Terra de Trás-os-Montes,Bragança,2019-09-11,,,,Tojo,Matos atlânticos,0.63
Alto Tâmega e Terra de Trás-os-Montes,Bragança,2019-09-11,,,,Esteva,Matos mediterrânicos,0.86
Douro,Vila Real,2019-09-11,,,,Urze,Matos atlânticos,0.86
Douro,Vila Real,2019-09-11,,,,Carqueja,Matos atlânticos,0.67
"Beira Baixa, Beiras e Serra da Estrela",Castelo branco,2019-09-23,,,,Esteva,Matos mediterrânicos,0.85
"Beira Baixa, Beiras e Serra da Estrela",Castelo branco,2019-09-23,,,,P. bravo,Pinhais,1.25
"Aveiro, Viseu e Dão Lafões",Castro d'Aire,2019-09-23,,,,Urze,Matos atlânticos,0.82
"Aveiro, Viseu e Dão Lafões",Castro d'Aire,2019-09-23,,,,Carqueja,Matos atlânticos,0.8
Alto Tâmega e Terra de Trás-os-Montes,Bragança,2019-09-25,,,,Tojo,Matos atlânticos,0.75
Alto Tâmega e Terra de Trás-os-Montes,Bragança,2019-09-25,,,,Esteva,Matos mediterrânicos,1.07
Douro,Vila Real,2019-09-25,,,,Urze,Matos atlânticos,0.92
Douro,Vila Real,2019-09-25,,,,Carqueja,Matos atlânticos,0.87
Douro,Vila Real,2019-10-08,,,,Urze,Matos atlânticos,0.79
