fuel_model,fuel_model_set,fuel_bed_depth_ft,fuel_bed_depth_m,waf_unsheltered_calc,waf_unsheltered_2dp,waf_behaveplus_help_tenths
1,Anderson13,1.0,0.305,0.3621,0.36,0.4
2,Anderson13,1.0,0.305,0.3621,0.36,0.4
3,Anderson13,2.5,0.762,0.4395,0.44,0.4
4,Anderson13,6.0,1.829,0.5468,0.55,0.5
5,Anderson13,2.0,0.610,0.4180,0.42,0.4
6,Anderson13,2.5,0.762,0.4395,0.44,0.4
7,Anderson13,2.5,0.762,0.4395,0.44,0.4
8,Anderson13,0.2,0.061,0.2752,0.28,0.3
9,Anderson13,0.2,0.061,0.2752,0.28,0.3
10,Anderson13,1.0,0.305,0.3621,0.36,0.4
11,Anderson13,1.0,0.305,0.3621,0.36,0.4
12,Anderson13,2.3,0.701,0.4312,0.43,0.4
13,Anderson13,3.0,0.914,0.4587,0.46,0.5
GR1,ScottBurgan40,0.4,0.122,0.3071,0.31,0.3
GR2,ScottBurgan40,1.0,0.305,0.3621,0.36,0.4
GR3,ScottBurgan40,2.0,0.610,0.4180,0.42,0.4
GR4,ScottBurgan40,2.0,0.610,0.4180,0.42,0.4
GR5,ScottBurgan40,1.5,0.457,0.3929,0.39,0.4
GR6,ScottBurgan40,1.5,0.457,0.3929,0.39,0.4
GR7,ScottBurgan40,3.0,0.914,0.4587,0.46,0.5
GR8,ScottBurgan40,4.0,1.219,0.4920,0.49,0.5
GR9,ScottBurgan40,5.0,1.524,0.5210,0.52,0.5
GS1,ScottBurgan40,0.9,0.274,0.3548,0.35,0.4
GS2,ScottBurgan40,1.5,0.457,0.3929,0.39,0.4
GS3,ScottBurgan40,1.8,0.549,0.4085,0.41,0.4
GS4,ScottBurgan40,2.1,0.640,0.4225,0.42,0.4
SH1,ScottBurgan40,1.0,0.305,0.3621,0.36,0.4
SH2,ScottBurgan40,1.0,0.305,0.3621,0.36,0.4
SH3,ScottBurgan40,2.4,0.732,0.4354,0.44,0.4
SH4,ScottBurgan40,3.0,0.914,0.4587,0.46,0.5
SH5,ScottBurgan40,6.0,1.829,0.5468,0.55,0.5
SH6,ScottBurgan40,2.0,0.610,0.4180,0.42,0.4
SH7,ScottBurgan40,6.0,1.829,0.5468,0.55,0.5
SH8,ScottBurgan40,3.0,0.914,0.4587,0.46,0.5
SH9,ScottBurgan40,4.4,1.341,0.5041,0.50,0.5
TU1,ScottBurgan40,0.6,0.183,0.3293,0.33,0.3
TU2,ScottBurgan40,1.0,0.305,0.3621,0.36,0.4
TU3,ScottBurgan40,1.3,0.396,0.3815,0.38,0.4
TU4,ScottBurgan40,0.5,0.152,0.3189,0.32,0.3
TU5,ScottBurgan40,1.0,0.305,0.3621,0.36,0.4
TL1,ScottBurgan40,0.2,0.061,0.2752,0.28,0.3
TL2,ScottBurgan40,0.2,0.061,0.2752,0.28,0.3
TL3,ScottBurgan40,0.3,0.091,0.2930,0.29,0.3
TL4,ScottBurgan40,0.4,0.122,0.3071,0.31,0.3
TL5,ScottBurgan40,0.6,0.183,0.3293,0.33,0.3
TL6,ScottBurgan40,0.3,0.091,0.2930,0.29,0.3
TL7,ScottBurgan40,0.4,0.122,0.3071,0.31,0.3
TL8,ScottBurgan40,0.3,0.091,0.2930,0.29,0.3
TL9,ScottBurgan40,0.6,0.183,0.3293,0.33,0.3
SB1,ScottBurgan40,1.0,0.305,0.3621,0.36,0.4
SB2,ScottBurgan40,1.0,0.305,0.3621,0.36,0.4
SB3,ScottBurgan40,1.2,0.366,0.3754,0.38,0.4
SB4,ScottBurgan40,2.7,0.823,0.4474,0.45,0.4
