source,condition,cc_min_pct,cc_max_pct,crown_ratio_assumed,waf,notes
Baughman_Albini_1980,partially_sheltered,,,,0.25,patchy timber; midslope or higher with wind at slope
Baughman_Albini_1980,fully_sheltered_sparse_shade_intolerant,,,,0.17,
Baughman_Albini_1980,fully_sheltered_sparse_shade_tolerant,,,,0.14,
Baughman_Albini_1980,fully_sheltered_dense_shade_intolerant,,,,0.12,
Baughman_Albini_1980,fully_sheltered_dense_shade_tolerant,,,,0.08,
BehavePlus_Rothermel1983_FirelineHandbook,partially_sheltered,,,,0.3,all fuel models
BehavePlus_Rothermel1983_FirelineHandbook,fully_sheltered_open_stands,,,,0.2,all fuel models
BehavePlus_Rothermel1983_FirelineHandbook,fully_sheltered_dense_stands,,,,0.1,all fuel models
Scott_2007,sheltered_by_canopy_cover,0,5,1.0,,use unsheltered table
Scott_2007,sheltered_by_canopy_cover,5,10,1.0,0.30,
Scott_2007,sheltered_by_canopy_cover,10,15,1.0,0.25,
Scott_2007,sheltered_by_canopy_cover,15,30,1.0,0.20,
Scott_2007,sheltered_by_canopy_cover,30,50,1.0,0.15,
Scott_2007,sheltered_by_canopy_cover,50,100,1.0,0.10,
FVS_FFE,wind_correction_factor_vs_canopy_closure,0,5,,0.5,interpolated between points
FVS_FFE,wind_correction_factor_vs_canopy_closure,17.5,17.5,,0.3,interpolation node
FVS_FFE,wind_correction_factor_vs_canopy_closure,37.5,37.5,,0.2,interpolation node
FVS_FFE,wind_correction_factor_vs_canopy_closure,75,100,,0.1,interpolation node / flat above
