fuel_model,fuel_bed_depth_ft,behaveplus_table,baughman_albini_1980,rothermel_1983_table,fireline_handbook_2006,scott_2007,behaveplus_calc_eq6_HF_eq_H
1,1.0,0.4,0.36,0.4,0.4,0.36,0.362
2,1.0,0.4,0.36,0.4,0.4,0.36,0.362
3,2.5,0.4,0.44,0.4,0.4,0.44,0.44
4,6.0,0.5,0.55,0.6,0.5,0.55,0.547
5,2.0,0.4,0.42,0.4,0.4,0.42,0.418
6,2.5,0.4,0.44,0.4,0.4,0.44,0.44
7,2.5,0.4,0.44,0.4,0.4,0.44,0.44
8,0.2,0.3,0.36,0.4,0.4,0.28,0.275
9,0.2,0.3,0.36,0.4,0.4,0.28,0.275
10,1.0,0.4,0.36,0.4,0.4,0.36,0.362
11,1.0,0.4,0.36,0.4,0.4,0.36,0.362
12,2.3,0.4,0.43,0.4,0.4,0.43,0.431
13,3.0,0.5,0.46,0.5,0.5,0.46,0.469
