FMNum,FMCode,1H_FL,10H_FL,100H_FL,LiveH_FL,LiveW_FL,FMType,1HSAV,LiveHSAV,LiveWSAV,Depth,XtMoist,DHt,LHt
211,FM211,4.64,2.96,1.28,0,1.12,static,4200,0,5000,32,26,21000,21000
212,FM212,2.67,1.28,0.69,0,1.17,static,4500,0,5000,14.94,25,20500,20500
213,FM213,6.5,1.5,0,0,0,static,5500,0,0,10.06,45,20500,20500
214,FM214,3.74,2,1.01,0,1.19,static,6500,0,4500,4.88,28,20500,20500
221,FM221,4.55,1.86,0.61,0,9.08,static,6000,0,5000,63.09,30,20000,20000
222,FM222,5.65,1.5,0.47,0,7.89,static,5000,0,5500,49.99,25,20500,20500
223,FM223,8.36,3.81,0,0,4.51,static,4700,0,5000,64.01,32,21000,21000
224,FM224,1.37,2.89,1.59,0,1.84,static,4500,0,5000,39.93,26,21000,21000
225,FM225,4.51,1.5,0.49,2.35,0.47,static,6000,8000,4500,29.87,35,19500,19500
226,FM226,2.71,1.01,0,0.65,0.09,static,5500,8000,4500,10.06,30,20500,20500
227,FM227,7.22,3,0,0,6.88,static,5500,0,6000,49.99,40,21000,21000
231,FM231,0.65,0.15,0,2.35,0.40,dynamic,4000,5500,4000,60.05,24,19000,19000
232,FM232,0.29,0,0,1.21,0,dynamic,6000,6000,0,35.05,24,19000,19000
233,FM233,9.5,2.51,0,0,14.5,static,3500,0,4000,104.85,35,21000,21000
234,FM234,6.01,0.49,0,0,7.51,static,4500,0,4500,49.99,35,21000,21000
235,FM235,1.01,1.01,0,1.5,5.49,static,4500,8500,4000,54.86,25,19500,19500
236,FM236,6.01,3.99,0,0,13,static,2500,0,3000,170.08,25,20500,20500
237,FM237,3.99,0.49,0,0,6.99,static,3000,0,3000,89.92,20,20500,20500
255,FM255,3.99,0.49,0,0,6.99,static,18,18,18,89.92,20,20469,20469
98,FM98,0,0,0,0,0,static,0,0,0,0,0,0,0
