# Limiares de classificacao dos outputs FARSITE / FlamMap
# Fire behaviour output classification thresholds
#
# Convencao de intervalos: min <= valor < max
# A ultima classe (5) e aberta superiormente: max = null / infinito
# NoData deve ficar transparente (alpha 0)
#
# Campos: output_id | classe | min | max | unidade | rotulo_pt | R | G | B | hex

output_id,classe,min,max,unidade,rotulo_pt,cor_pt,R,G,B,hex
ROS,1,0,0.83,m/min,"0 a 0,83 m/min",Verde-escuro,0,102,51,#006633
ROS,2,0.83,2.5,m/min,"0,83 a 2,5 m/min",Verde-claro,146,208,80,#92D050
ROS,3,2.5,5,m/min,"2,5 a 5 m/min",Amarelo,255,255,0,#FFFF00
ROS,4,5,13.3,m/min,"5 a 13,3 m/min",Laranja,255,153,0,#FF9900
ROS,5,13.3,,m/min,"Mais de 13,3 m/min",Vermelho,255,0,0,#FF0000
FLI,1,0,1500,kW/m,"0 a 1500 kW/m",Verde-escuro,0,102,51,#006633
FLI,2,1500,3750,kW/m,"1500 a 3750 kW/m",Verde-claro,146,208,80,#92D050
FLI,3,3750,7500,kW/m,"3750 a 7500 kW/m",Amarelo,255,255,0,#FFFF00
FLI,4,7500,10000,kW/m,"7500 a 10000 kW/m",Laranja,255,153,0,#FF9900
FLI,5,10000,,kW/m,"Mais de 10000 kW/m",Vermelho,255,0,0,#FF0000
FML,1,0,1.3,m,"0 a 1,3 m",Verde-escuro,0,102,51,#006633
FML,2,1.3,2.2,m,"1,3 a 2,2 m",Verde-claro,146,208,80,#92D050
FML,3,2.2,3.4,m,"2,2 a 3,4 m",Amarelo,255,255,0,#FFFF00
FML,4,3.4,4.7,m,"3,4 a 4,7 m",Laranja,255,153,0,#FF9900
FML,5,4.7,,m,"Mais de 4,7 m",Vermelho,255,0,0,#FF0000

# Nomes completos dos outputs:
#   ROS = Velocidade de Propagacao / Rate of Spread [m/min]
#   FLI = Intensidade da Frente de Chamas / Fireline Intensity [kW/m]
#   FML = Comprimento de Chama / Flame Length [m]
# JSON equivalente: limiares_outputs_farsite.json
