codigo,designacao,grupo,R,G,B,hex,rgb_css
91,Urbano,Não combustível,212,0,0,#D40000,"rgb(212,0,0)"
93,Agricultura de regadios,Não combustível,66,207,183,#42CFB7,"rgb(66,207,183)"
98,Planos de água,Não combustível,0,87,247,#0057F7,"rgb(0,87,247)"
99,Rocha,Não combustível,189,189,189,#BDBDBD,"rgb(189,189,189)"
211,Eucalipto sem sub-coberto,Povoamento sem sub-coberto,0,255,0,#00FF00,"rgb(0,255,0)"
212,Folhosas sem sub-coberto,Povoamento sem sub-coberto,0,121,0,#007900,"rgb(0,121,0)"
213,Pinheiro-bravo sem sub-coberto,Povoamento sem sub-coberto,0,77,0,#004D00,"rgb(0,77,0)"
214,Resinosas de agulha-curta,Povoamento sem sub-coberto,201,233,255,#C9E9FF,"rgb(201,233,255)"
221,Caducifólias com sub-coberto,Povoamento com sub-coberto,8,102,100,#086664,"rgb(8,102,100)"
222,Esclerófilas com sub-coberto,Povoamento com sub-coberto,0,160,16,#00A010,"rgb(0,160,16)"
223,Eucalipto com sub-coberto,Povoamento com sub-coberto,0,216,20,#00D814,"rgb(0,216,20)"
224,Seleção de varas de Eucalipto,Povoamento com sub-coberto,162,224,0,#A2E000,"rgb(162,224,0)"
225,Povoamentos com sub-coberto de fetos,Povoamento com sub-coberto,22,188,100,#16BC64,"rgb(22,188,100)"
226,Povoamentos com sub-coberto de herbáceas,Povoamento com sub-coberto,148,102,78,#94664E,"rgb(148,102,78)"
227,Pinheiro-bravo com sub-coberto,Povoamento com sub-coberto,39,55,0,#273700,"rgb(39,55,0)"
231,"Herbáceas altas (>0,5 metros)",Herbáceas / Matos,255,224,64,#FFE040,"rgb(255,224,64)"
232,"Herbáceas baixas (<0,5 metros)",Herbáceas / Matos,255,255,0,#FFFF00,"rgb(255,255,0)"
233,Matos atlânticos altos (>1 metro),Herbáceas / Matos,255,117,51,#FF7533,"rgb(255,117,51)"
234,Matos atlânticos baixos (<1 metro),Herbáceas / Matos,255,152,104,#FF9868,"rgb(255,152,104)"
235,Matos jovens,Herbáceas / Matos,173,229,68,#ADE544,"rgb(173,229,68)"
236,Matos mediterrânicos altos (>1 metro),Herbáceas / Matos,225,195,43,#E1C32B,"rgb(225,195,43)"
237,Matos mediterrânicos baixos (<1 metro),Herbáceas / Matos,222,224,32,#DEE020,"rgb(222,224,32)"
